  t[s]	          x1[m]	        x2[m/s]	        x3[rad]	      x4[rad/s]	        F[N]
  0.91	+2.03420974e-01	-1.22943851e-01	-2.74793024e-02	+8.75629424e-02	-2.691012e-01
  0.92	+2.02191445e-01	-1.25128835e-01	-2.66037277e-02	+8.62503071e-02	-2.650932e-01
  0.93	+2.00940069e-01	-1.27226402e-01	-2.57412794e-02	+8.49368989e-02	-2.611281e-01
  0.94	+1.99667721e-01	-1.29238410e-01	-2.48919651e-02	+8.36239870e-02	-2.572045e-01
  0.95	+1.98375257e-01	-1.31166670e-01	-2.40557799e-02	+8.23127301e-02	-2.533215e-01
  0.96	+1.97063513e-01	-1.33012948e-01	-2.32327071e-02	+8.10041859e-02	-2.494781e-01
  0.97	+1.95733310e-01	-1.34778967e-01	-2.24227196e-02	+7.96993194e-02	-2.456735e-01
  0.98	+1.94385450e-01	-1.36466410e-01	-2.16257806e-02	+7.83990104e-02	-2.419067e-01
  0.99	+1.93020719e-01	-1.38076923e-01	-2.08418445e-02	+7.71040613e-02	-2.381773e-01
  1.00	+1.91639886e-01	-1.39612115e-01	-2.00708576e-02	+7.58152028e-02	-2.344845e-01
  1.01	+1.90243704e-01	-1.41073562e-01	-1.93127590e-02	+7.45331003e-02	-2.308277e-01
  1.02	+1.88832910e-01	-1.42462807e-01	-1.85674811e-02	+7.32583593e-02	-2.272065e-01
  1.03	+1.87408227e-01	-1.43781361e-01	-1.78349503e-02	+7.19915300e-02	-2.236205e-01
  1.04	+1.85970362e-01	-1.45030707e-01	-1.71150874e-02	+7.07331122e-02	-2.200691e-01
  1.05	+1.84520005e-01	-1.46212300e-01	-1.64078084e-02	+6.94835594e-02	-2.165521e-01
  1.06	+1.83057836e-01	-1.47327567e-01	-1.57130245e-02	+6.82432824e-02	-2.130691e-01
  1.07	+1.81584516e-01	-1.48377909e-01	-1.50306429e-02	+6.70126530e-02	-2.096198e-01
  1.08	+1.80100696e-01	-1.49364702e-01	-1.43605673e-02	+6.57920071e-02	-2.062039e-01
  1.09	+1.78607011e-01	-1.50289299e-01	-1.37026976e-02	+6.45816475e-02	-2.028213e-01
  1.10	+1.77104082e-01	-1.51153029e-01	-1.30569311e-02	+6.33818467e-02	-1.994717e-01
  1.11	+1.75592518e-01	-1.51957199e-01	-1.24231622e-02	+6.21928493e-02	-1.961548e-01
  1.12	+1.74072915e-01	-1.52703094e-01	-1.18012828e-02	+6.10148743e-02	-1.928706e-01
  1.13	+1.72545855e-01	-1.53391977e-01	-1.11911827e-02	+5.98481169e-02	-1.896188e-01
  1.14	+1.71011909e-01	-1.54025092e-01	-1.05927497e-02	+5.86927507e-02	-1.863994e-01
  1.15	+1.69471634e-01	-1.54603662e-01	-1.00058698e-02	+5.75489293e-02	-1.832121e-01
  1.16	+1.67925575e-01	-1.55128892e-01	-9.43042773e-03	+5.64167877e-02	-1.800568e-01
  1.17	+1.66374267e-01	-1.55601967e-01	-8.86630654e-03	+5.52964440e-02	-1.769334e-01
  1.18	+1.64818230e-01	-1.56024055e-01	-8.31338829e-03	+5.41880004e-02	-1.738419e-01
  1.19	+1.63257973e-01	-1.56396303e-01	-7.77155398e-03	+5.30915450e-02	-1.707821e-01
  1.20	+1.61693997e-01	-1.56719843e-01	-7.24068371e-03	+5.20071522e-02	-1.677539e-01
  1.21	+1.60126787e-01	-1.56995789e-01	-6.72065688e-03	+5.09348841e-02	-1.647571e-01
  1.22	+1.58556820e-01	-1.57225239e-01	-6.21135221e-03	+4.98747916e-02	-1.617918e-01
  1.23	+1.56984560e-01	-1.57409272e-01	-5.71264796e-03	+4.88269147e-02	-1.588579e-01
  1.24	+1.55410461e-01	-1.57548953e-01	-5.22442197e-03	+4.77912840e-02	-1.559551e-01
  1.25	+1.53834967e-01	-1.57645330e-01	-4.74655178e-03	+4.67679208e-02	-1.530835e-01
  1.26	+1.52258512e-01	-1.57699435e-01	-4.27891471e-03	+4.57568382e-02	-1.502430e-01
  1.27	+1.50681517e-01	-1.57712286e-01	-3.82138795e-03	+4.47580414e-02	-1.474335e-01
  1.28	+1.49104395e-01	-1.57684883e-01	-3.37384864e-03	+4.37715285e-02	-1.446548e-01
  1.29	+1.47527549e-01	-1.57618214e-01	-2.93617396e-03	+4.27972909e-02	-1.419069e-01
  1.30	+1.45951372e-01	-1.57513249e-01	-2.50824114e-03	+4.18353139e-02	-1.391897e-01
  1.31	+1.44376245e-01	-1.57370947e-01	-2.08992758e-03	+4.08855770e-02	-1.365032e-01
  1.32	+1.42802543e-01	-1.57192250e-01	-1.68111088e-03	+3.99480542e-02	-1.338471e-01
  1.33	+1.41230629e-01	-1.56978085e-01	-1.28166890e-03	+3.90227147e-02	-1.312215e-01
  1.34	+1.39660859e-01	-1.56729368e-01	-8.91479804e-04	+3.81095231e-02	-1.286262e-01
  1.35	+1.38093577e-01	-1.56446999e-01	-5.10422123e-04	+3.72084397e-02	-1.260611e-01
  1.36	+1.36529120e-01	-1.56131864e-01	-1.38374774e-04	+3.63194206e-02	-1.235261e-01
  1.37	+1.34967816e-01	-1.55784836e-01	+2.24782885e-04	+3.54424184e-02	-1.210212e-01
  1.38	+1.33409983e-01	-1.55406775e-01	+5.79171021e-04	+3.45773822e-02	-1.185461e-01
  1.39	+1.31855933e-01	-1.54998527e-01	+9.24909291e-04	+3.37242577e-02	-1.161008e-01
  1.40	+1.30305966e-01	-1.54560925e-01	+1.26211681e-03	+3.28829877e-02	-1.136852e-01
  1.41	+1.28760376e-01	-1.54094790e-01	+1.59091212e-03	+3.20535122e-02	-1.112992e-01
  1.42	+1.27219448e-01	-1.53600929e-01	+1.91141316e-03	+3.12357685e-02	-1.089426e-01
  1.43	+1.25683461e-01	-1.53080136e-01	+2.22373726e-03	+3.04296915e-02	-1.066152e-01
