  t[s]	          x1[m]	        x2[m/s]	        x3[rad]	      x4[rad/s]	        F[N]
  0.76	-5.68347235e-01	-4.60930677e-01	+2.98886272e+00	+2.96288341e+00	+2.000000e+00
  0.77	-5.72954664e-01	-4.15857906e-01	+3.01849686e+00	+3.09026733e+00	+2.000000e+00
  0.78	-5.77111419e-01	-3.72079250e-01	+3.04940446e+00	+3.20849421e+00	+2.000000e+00
  0.79	-5.80830444e-01	-3.29667365e-01	+3.08149392e+00	+3.31702248e+00	+2.000000e+00
  0.80	-5.84125410e-01	-2.88691984e-01	+3.11466825e+00	+3.41533565e+00	+2.000000e+00
  0.81	-5.87010685e-01	-2.49217151e-01	+3.14882525e+00	+3.50295448e+00	+2.000000e+00
  0.82	-5.89501277e-01	-2.11298429e-01	+3.18385799e+00	+3.57944930e+00	+2.000000e+00
  0.83	-5.91612748e-01	-1.74980213e-01	+3.21965519e+00	+3.64445190e+00	+2.000000e+00
  0.84	-5.93361105e-01	-1.40293297e-01	+3.25610193e+00	+3.69766623e+00	+2.000000e+00
  0.85	-5.94762661e-01	-1.07252836e-01	+3.29308031e+00	+3.73887749e+00	+2.000000e+00
  0.86	-5.95833881e-01	-7.58568449e-02	+3.33047029e+00	+3.76795883e+00	+2.000000e+00
  0.87	-5.96591209e-01	-4.60853250e-02	+3.36815059e+00	+3.78487530e+00	+2.000000e+00
  0.88	-5.97050888e-01	-1.79000880e-02	+3.40599954e+00	+3.78968484e+00	+2.000000e+00
  0.89	-5.97228778e-01	+8.75470693e-03	+3.44389609e+00	+3.78253616e+00	+2.000000e+00
  0.90	-5.97140181e-01	+3.39513364e-02	+3.48172067e+00	+3.76366368e+00	+2.000000e+00
  0.91	-5.96799675e-01	+5.77766932e-02	+3.51935604e+00	+3.73337997e+00	+2.000000e+00
  0.92	-5.96220968e-01	+8.03299781e-02	+3.55668812e+00	+3.69206610e+00	+2.000000e+00
  0.93	-5.95416777e-01	+1.01720041e-01	+3.59360662e+00	+3.64016053e+00	+2.000000e+00
  0.94	-5.94398729e-01	+1.22062525e-01	+3.63000564e+00	+3.57814736e+00	+2.000000e+00
  0.95	-5.93177295e-01	+1.41476957e-01	+3.66578413e+00	+3.50654424e+00	+2.000000e+00
  0.96	-5.91761750e-01	+1.60083920e-01	+3.70084622e+00	+3.42589089e+00	+2.000000e+00
  0.97	-5.90160164e-01	+1.78002431e-01	+3.73510141e+00	+3.33673843e+00	+2.000000e+00
  0.98	-5.88379417e-01	+1.95347586e-01	+3.76846475e+00	+3.23963993e+00	+2.000000e+00
  0.99	-5.86425238e-01	+2.12228549e-01	+3.80085679e+00	+3.13514240e+00	+2.000000e+00
  1.00	-5.84302264e-01	+2.28746916e-01	+3.83220358e+00	+3.02378030e+00	+2.000000e+00
  1.01	-5.82014118e-01	+2.44995436e-01	+3.86243648e+00	+2.90607059e+00	+2.000000e+00
  1.02	-5.79563494e-01	+2.61057103e-01	+3.89149204e+00	+2.78250908e+00	+2.000000e+00
  1.03	-5.76952258e-01	+2.77004577e-01	+3.91931175e+00	+2.65356820e+00	+2.000000e+00
  1.04	-5.74181550e-01	+2.92899903e-01	+3.94584186e+00	+2.51969570e+00	+2.000000e+00
  1.05	-5.71251889e-01	+3.08794484e-01	+3.97103305e+00	+2.38131435e+00	+2.000000e+00
  1.06	-5.68163280e-01	+3.24729266e-01	+3.99484026e+00	+2.23882232e+00	+2.000000e+00
